keyword,normalized_keyword,language,market,country,primary_cluster,secondary_cluster,search_intent,buyer_stage,search_volume,keyword_difficulty,cpc,trend,serp_type,serp_notes,commercial_value,strategic_relevance,malaysia_origin_relevance,existing_architecture_target,page_recommendation,priority,source,data_date,verification_status,notes
malaysia titanium dioxide eu,malaysia titanium dioxide eu,EN,EU,EU,MARKET,MARKET-EU-02 Country supplier,C,Supplier Search,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,5,4,1,MARKETS > European Union,EXISTING_PAGE,P2,PROJECT-BRIEF-TIO2-MALAYSIA-V1.0 | SEMRUSH-DE-EU-PROXY-20260829-001,2026-08-29,UNAVAILABLE,"Country-specific volume/CPC not available except measured Germany terms; page mapping follows the fixed architecture. Priority audit: CI=4.5/5, Strategic=4/5, Market=5/5, Demand=0/5, Feasibility=0/5, weighted=67. Unavailable demand/feasibility contributes 0 rather than an inferred value."
tio2 supplier eu,tio2 supplier eu,EN,EU,EU,MARKET,MARKET-EU-02 Country supplier,C,Supplier Search,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,5,4,1,MARKETS > European Union,EXISTING_PAGE,P2,PROJECT-BRIEF-TIO2-MALAYSIA-V1.0 | SEMRUSH-DE-EU-PROXY-20260829-001,2026-08-29,UNAVAILABLE,"Country-specific volume/CPC not available except measured Germany terms; page mapping follows the fixed architecture. Priority audit: CI=4.5/5, Strategic=4/5, Market=5/5, Demand=0/5, Feasibility=0/5, weighted=67. Unavailable demand/feasibility contributes 0 rather than an inferred value."
titanium dioxide supplier uk,titanium dioxide supplier uk,EN,UK,UNITED KINGDOM,MARKET,MARKET-UK-01 UK commercial,C,Supplier Search,Unavailable,12,Unavailable,Unavailable,Distributor/supplier mix,UK supplier SERP is dominated by local distributors and supplier product pages; Semrush volume/CPC unavailable.,5,5,2,MARKETS > United Kingdom,EXISTING_PAGE,P0,SEMRUSH-UK-MARKET-20260829-002,2026-08-29,VERIFIED,"Metric row verified from local Semrush capture. Semrush raw intent: Informational. Priority audit: CI=4.5/5, Strategic=5/5, Market=5/5, Demand=0/5, Feasibility=5/5, weighted=82. Unavailable demand/feasibility contributes 0 rather than an inferred value."
tio2 supplier uk,tio2 supplier uk,EN,UK,UNITED KINGDOM,MARKET,MARKET-UK-01 UK commercial,C,Supplier Search,Unavailable,9,Unavailable,Unavailable,Distributor/supplier mix,UK supplier SERP is dominated by local distributors and supplier product pages; Semrush volume/CPC unavailable.,5,5,2,MARKETS > United Kingdom,EXISTING_PAGE,P0,SEMRUSH-UK-MARKET-20260829-002,2026-08-29,VERIFIED,"Metric row verified from local Semrush capture. Semrush raw intent: Transactional. Priority audit: CI=4.5/5, Strategic=5/5, Market=5/5, Demand=0/5, Feasibility=5/5, weighted=82. Unavailable demand/feasibility contributes 0 rather than an inferred value."
titanium dioxide manufacturer uk,titanium dioxide manufacturer uk,EN,UK,UNITED KINGDOM,MARKET,MARKET-UK-01 UK commercial,C,Supplier Search,Unavailable,10,Unavailable,Unavailable,Distributor/supplier mix,UK supplier SERP is dominated by local distributors and supplier product pages; Semrush volume/CPC unavailable.,5,5,2,MARKETS > United Kingdom,EXISTING_PAGE,P0,SEMRUSH-UK-MARKET-20260829-002,2026-08-29,VERIFIED,"Metric row verified from local Semrush capture. Semrush raw intent: Commercial. Priority audit: CI=4.5/5, Strategic=5/5, Market=5/5, Demand=0/5, Feasibility=5/5, weighted=82. Unavailable demand/feasibility contributes 0 rather than an inferred value."
titanium dioxide import uk,titanium dioxide import uk,EN,UK,UNITED KINGDOM,MARKET,MARKET-UK-01 UK commercial,I,Supplier Search,Unavailable,14,Unavailable,Unavailable,Distributor/supplier mix,UK supplier SERP is dominated by local distributors and supplier product pages; Semrush volume/CPC unavailable.,5,5,2,MARKETS > United Kingdom,EXISTING_PAGE,P2,SEMRUSH-UK-MARKET-20260829-002,2026-08-29,VERIFIED,"Metric row verified from local Semrush capture. Semrush raw intent: Informational. Priority audit: CI=1.5/5, Strategic=5/5, Market=5/5, Demand=0/5, Feasibility=5/5, weighted=64. Unavailable demand/feasibility contributes 0 rather than an inferred value."
malaysia titanium dioxide uk,malaysia titanium dioxide uk,EN,UK,UNITED KINGDOM,MARKET,MARKET-UK-01 UK commercial,I,Supplier Search,Unavailable,14,Unavailable,Unavailable,Distributor/supplier mix,UK supplier SERP is dominated by local distributors and supplier product pages; Semrush volume/CPC unavailable.,5,5,2,MARKETS > United Kingdom,EXISTING_PAGE,P2,SEMRUSH-UK-MARKET-20260829-002,2026-08-29,VERIFIED,"Metric row verified from local Semrush capture. Semrush raw intent: Informational. Priority audit: CI=1.5/5, Strategic=5/5, Market=5/5, Demand=0/5, Feasibility=5/5, weighted=64. Unavailable demand/feasibility contributes 0 rather than an inferred value."
non china titanium dioxide uk,non china titanium dioxide uk,EN,UK,UNITED KINGDOM,MARKET,MARKET-UK-01 UK commercial,I,Supplier Search,Unavailable,9,Unavailable,Unavailable,Distributor/supplier mix,UK supplier SERP is dominated by local distributors and supplier product pages; Semrush volume/CPC unavailable.,5,5,2,MARKETS > United Kingdom,EXISTING_PAGE,P2,SEMRUSH-UK-MARKET-20260829-002,2026-08-29,VERIFIED,"Metric row verified from local Semrush capture. Semrush raw intent: Informational. Priority audit: CI=1.5/5, Strategic=5/5, Market=5/5, Demand=0/5, Feasibility=5/5, weighted=64. Unavailable demand/feasibility contributes 0 rather than an inferred value."
titanium dioxide anti dumping uk,titanium dioxide anti dumping uk,EN,UK,UNITED KINGDOM,MARKET,MARKET-UK-01 UK commercial,I,Supplier Search,Unavailable,13,Unavailable,Unavailable,Distributor/supplier mix,UK supplier SERP is dominated by local distributors and supplier product pages; Semrush volume/CPC unavailable.,5,5,2,MARKETS > United Kingdom,EXISTING_PAGE,P2,SEMRUSH-UK-MARKET-20260829-002,2026-08-29,VERIFIED,"Metric row verified from local Semrush capture. Semrush raw intent: Informational. Priority audit: CI=1.5/5, Strategic=5/5, Market=5/5, Demand=0/5, Feasibility=5/5, weighted=64. Unavailable demand/feasibility contributes 0 rather than an inferred value."
titanium dioxide tariff uk,titanium dioxide tariff uk,EN,UK,UNITED KINGDOM,MARKET,MARKET-UK-01 UK commercial,I,Supplier Search,Unavailable,23,Unavailable,Unavailable,Distributor/supplier mix,UK supplier SERP is dominated by local distributors and supplier product pages; Semrush volume/CPC unavailable.,5,5,2,MARKETS > United Kingdom,EXISTING_PAGE,P2,SEMRUSH-UK-MARKET-20260829-002,2026-08-29,VERIFIED,"Metric row verified from local Semrush capture. Semrush raw intent: Informational. Priority audit: CI=1.5/5, Strategic=5/5, Market=5/5, Demand=0/5, Feasibility=4/5, weighted=62. Unavailable demand/feasibility contributes 0 rather than an inferred value."
titanium dioxide supplier india,titanium dioxide supplier india,EN,INDIA,INDIA,MARKET,MARKET-IN-01 India commercial,C,Supplier Search,Unavailable,8,Unavailable,Unavailable,Supplier/distributor/marketplace mix,India supplier SERP includes distributors and marketplaces; Semrush verifies KD 8–22 but volume/CPC are unavailable.,5,5,2,MARKETS > India,EXISTING_PAGE,P0,SEMRUSH-IN-MARKET-20260829-001,2026-08-29,VERIFIED,"Metric row verified from local Semrush capture. Semrush raw intent: Transactional. Priority audit: CI=4.5/5, Strategic=5/5, Market=5/5, Demand=0/5, Feasibility=5/5, weighted=82. Unavailable demand/feasibility contributes 0 rather than an inferred value."
tio2 supplier india,tio2 supplier india,EN,INDIA,INDIA,MARKET,MARKET-IN-01 India commercial,C,Supplier Search,Unavailable,12,Unavailable,Unavailable,Supplier/distributor/marketplace mix,India supplier SERP includes distributors and marketplaces; Semrush verifies KD 8–22 but volume/CPC are unavailable.,5,5,2,MARKETS > India,EXISTING_PAGE,P0,SEMRUSH-IN-MARKET-20260829-001,2026-08-29,VERIFIED,"Metric row verified from local Semrush capture. Semrush raw intent: Informational. Priority audit: CI=4.5/5, Strategic=5/5, Market=5/5, Demand=0/5, Feasibility=5/5, weighted=82. Unavailable demand/feasibility contributes 0 rather than an inferred value."
titanium dioxide manufacturer india,titanium dioxide manufacturer india,EN,INDIA,INDIA,MARKET,MARKET-IN-01 India commercial,C,Supplier Search,Unavailable,12,Unavailable,Unavailable,Supplier/distributor/marketplace mix,India supplier SERP includes distributors and marketplaces; Semrush verifies KD 8–22 but volume/CPC are unavailable.,5,5,2,MARKETS > India,EXISTING_PAGE,P0,SEMRUSH-IN-MARKET-20260829-001,2026-08-29,VERIFIED,"Metric row verified from local Semrush capture. Semrush raw intent: Informational. Priority audit: CI=4.5/5, Strategic=5/5, Market=5/5, Demand=0/5, Feasibility=5/5, weighted=82. Unavailable demand/feasibility contributes 0 rather than an inferred value."
titanium dioxide import india,titanium dioxide import india,EN,INDIA,INDIA,MARKET,MARKET-IN-01 India commercial,I,Supplier Search,Unavailable,12,Unavailable,Unavailable,Supplier/distributor/marketplace mix,India supplier SERP includes distributors and marketplaces; Semrush verifies KD 8–22 but volume/CPC are unavailable.,5,5,2,MARKETS > India,EXISTING_PAGE,P2,SEMRUSH-IN-MARKET-20260829-001,2026-08-29,VERIFIED,"Metric row verified from local Semrush capture. Semrush raw intent: Informational. Priority audit: CI=1.5/5, Strategic=5/5, Market=5/5, Demand=0/5, Feasibility=5/5, weighted=64. Unavailable demand/feasibility contributes 0 rather than an inferred value."
malaysia titanium dioxide india,malaysia titanium dioxide india,EN,INDIA,INDIA,MARKET,MARKET-IN-01 India commercial,I,Supplier Search,Unavailable,15,Unavailable,Unavailable,Supplier/distributor/marketplace mix,India supplier SERP includes distributors and marketplaces; Semrush verifies KD 8–22 but volume/CPC are unavailable.,5,5,2,MARKETS > India,EXISTING_PAGE,P2,SEMRUSH-IN-MARKET-20260829-001,2026-08-29,VERIFIED,"Metric row verified from local Semrush capture. Semrush raw intent: Informational. Priority audit: CI=1.5/5, Strategic=5/5, Market=5/5, Demand=0/5, Feasibility=4/5, weighted=62. Unavailable demand/feasibility contributes 0 rather than an inferred value."
non china titanium dioxide india,non china titanium dioxide india,EN,INDIA,INDIA,MARKET,MARKET-IN-01 India commercial,I,Supplier Search,Unavailable,10,Unavailable,Unavailable,Supplier/distributor/marketplace mix,India supplier SERP includes distributors and marketplaces; Semrush verifies KD 8–22 but volume/CPC are unavailable.,5,5,2,MARKETS > India,EXISTING_PAGE,P2,SEMRUSH-IN-MARKET-20260829-001,2026-08-29,VERIFIED,"Metric row verified from local Semrush capture. Semrush raw intent: Informational. Priority audit: CI=1.5/5, Strategic=5/5, Market=5/5, Demand=0/5, Feasibility=5/5, weighted=64. Unavailable demand/feasibility contributes 0 rather than an inferred value."
titanium dioxide price india,titanium dioxide price india,EN,INDIA,INDIA,MARKET,MARKET-IN-01 India commercial,C,Supplier Search,Unavailable,22,Unavailable,Unavailable,Supplier/distributor/marketplace mix,India supplier SERP includes distributors and marketplaces; Semrush verifies KD 8–22 but volume/CPC are unavailable.,5,5,2,MARKETS > India,EXISTING_PAGE,P0,SEMRUSH-IN-MARKET-20260829-001,2026-08-29,VERIFIED,"Metric row verified from local Semrush capture. Semrush raw intent: Commercial. Priority audit: CI=4.5/5, Strategic=5/5, Market=5/5, Demand=0/5, Feasibility=4/5, weighted=80. Unavailable demand/feasibility contributes 0 rather than an inferred value."
titanium dioxide anti dumping india,titanium dioxide anti dumping india,EN,INDIA,INDIA,MARKET,MARKET-IN-01 India commercial,I,Supplier Search,Unavailable,11,Unavailable,Unavailable,Supplier/distributor/marketplace mix,India supplier SERP includes distributors and marketplaces; Semrush verifies KD 8–22 but volume/CPC are unavailable.,5,5,2,MARKETS > India,EXISTING_PAGE,P2,SEMRUSH-IN-MARKET-20260829-001,2026-08-29,VERIFIED,"Metric row verified from local Semrush capture. Semrush raw intent: Informational. Priority audit: CI=1.5/5, Strategic=5/5, Market=5/5, Demand=0/5, Feasibility=5/5, weighted=64. Unavailable demand/feasibility contributes 0 rather than an inferred value."
titanium dioxide for paint india,titanium dioxide for paint india,EN,INDIA,INDIA,MARKET,MARKET-IN-01 India commercial,C,Supplier Search,Unavailable,10,Unavailable,Unavailable,Supplier/distributor/marketplace mix,India supplier SERP includes distributors and marketplaces; Semrush verifies KD 8–22 but volume/CPC are unavailable.,5,5,2,MARKETS > India,EXISTING_PAGE,P0,SEMRUSH-IN-MARKET-20260829-001,2026-08-29,VERIFIED,"Metric row verified from local Semrush capture. Semrush raw intent: Commercial. Priority audit: CI=4.5/5, Strategic=5/5, Market=5/5, Demand=0/5, Feasibility=5/5, weighted=82. Unavailable demand/feasibility contributes 0 rather than an inferred value."
titanium dioxide for plastics india,titanium dioxide for plastics india,EN,INDIA,INDIA,MARKET,MARKET-IN-01 India commercial,C,Supplier Search,Unavailable,10,Unavailable,Unavailable,Supplier/distributor/marketplace mix,India supplier SERP includes distributors and marketplaces; Semrush verifies KD 8–22 but volume/CPC are unavailable.,5,5,2,MARKETS > India,EXISTING_PAGE,P0,SEMRUSH-IN-MARKET-20260829-001,2026-08-29,VERIFIED,"Metric row verified from local Semrush capture. Semrush raw intent: Commercial. Priority audit: CI=4.5/5, Strategic=5/5, Market=5/5, Demand=0/5, Feasibility=5/5, weighted=82. Unavailable demand/feasibility contributes 0 rather than an inferred value."
titanium dioxide for masterbatch india,titanium dioxide for masterbatch india,EN,INDIA,INDIA,MARKET,MARKET-IN-01 India commercial,M,Supplier Search,Unavailable,9,Unavailable,Unavailable,Supplier/distributor/marketplace mix,India supplier SERP includes distributors and marketplaces; Semrush verifies KD 8–22 but volume/CPC are unavailable.,5,5,2,MARKETS > India,EXISTING_PAGE,P1,SEMRUSH-IN-MARKET-20260829-001,2026-08-29,VERIFIED,"Metric row verified from local Semrush capture. Semrush raw intent: Informational | Commercial. Priority audit: CI=3.5/5, Strategic=5/5, Market=5/5, Demand=0/5, Feasibility=5/5, weighted=76. Unavailable demand/feasibility contributes 0 rather than an inferred value."
titanium dioxide supplier brazil,titanium dioxide supplier brazil,EN,BRAZIL,BRAZIL,MARKET,MARKET-BR-EN Brazil English,C,Supplier Search,Unavailable,13,Unavailable,Unavailable,Unavailable,Semrush metrics refreshed and preserved in local raw batch; values marked Unavailable were displayed as unavailable.,4,5,2,MARKETS > Brazil,EXISTING_PAGE,P0,SEMRUSH-BR-MARKET-20260829-001,2026-08-29,VERIFIED,"Metric row verified from local Semrush capture. Semrush raw intent: Informational. Priority audit: CI=4.5/5, Strategic=5/5, Market=5/5, Demand=0/5, Feasibility=5/5, weighted=82. Unavailable demand/feasibility contributes 0 rather than an inferred value."
titanium dioxide brazil,titanium dioxide brazil,EN,BRAZIL,BRAZIL,MARKET,MARKET-BR-EN Brazil English,I,Supplier Search,0,3,0.00,Unavailable,Unavailable,Semrush metrics refreshed and preserved in local raw batch; values marked Unavailable were displayed as unavailable.,4,5,2,MARKETS > Brazil,EXISTING_PAGE,P2,SEMRUSH-BR-MARKET-20260829-001,2026-08-29,VERIFIED,"Metric row verified from local Semrush capture. Semrush raw intent: Informational. Priority audit: CI=1.5/5, Strategic=5/5, Market=5/5, Demand=1/5, Feasibility=5/5, weighted=67. Unavailable demand/feasibility contributes 0 rather than an inferred value."
tio2 brazil,tio2 brazil,EN,BRAZIL,BRAZIL,MARKET,MARKET-BR-EN Brazil English,I,Supplier Search,Unavailable,16,Unavailable,Unavailable,Unavailable,Semrush metrics refreshed and preserved in local raw batch; values marked Unavailable were displayed as unavailable.,4,5,2,MARKETS > Brazil,EXISTING_PAGE,P2,SEMRUSH-BR-MARKET-20260829-001,2026-08-29,VERIFIED,"Metric row verified from local Semrush capture. Semrush raw intent: Informational. Priority audit: CI=1.5/5, Strategic=5/5, Market=5/5, Demand=0/5, Feasibility=4/5, weighted=62. Unavailable demand/feasibility contributes 0 rather than an inferred value."
titanium dioxide importer brazil,titanium dioxide importer brazil,EN,BRAZIL,BRAZIL,MARKET,MARKET-BR-EN Brazil English,C,Supplier Search,Unavailable,13,Unavailable,Unavailable,Unavailable,Semrush metrics refreshed and preserved in local raw batch; values marked Unavailable were displayed as unavailable.,4,5,2,MARKETS > Brazil,EXISTING_PAGE,P0,SEMRUSH-BR-MARKET-20260829-001,2026-08-29,VERIFIED,"Metric row verified from local Semrush capture. Semrush raw intent: Informational. Priority audit: CI=4.5/5, Strategic=5/5, Market=5/5, Demand=0/5, Feasibility=5/5, weighted=82. Unavailable demand/feasibility contributes 0 rather than an inferred value."
malaysia titanium dioxide brazil,malaysia titanium dioxide brazil,EN,BRAZIL,BRAZIL,MARKET,MARKET-BR-EN Brazil English,I,Supplier Search,Unavailable,14,Unavailable,Unavailable,Unavailable,Semrush metrics refreshed and preserved in local raw batch; values marked Unavailable were displayed as unavailable.,4,5,2,MARKETS > Brazil,EXISTING_PAGE,P2,SEMRUSH-BR-MARKET-20260829-001,2026-08-29,VERIFIED,"Metric row verified from local Semrush capture. Semrush raw intent: Informational. Priority audit: CI=1.5/5, Strategic=5/5, Market=5/5, Demand=0/5, Feasibility=5/5, weighted=64. Unavailable demand/feasibility contributes 0 rather than an inferred value."
non china titanium dioxide brazil,non china titanium dioxide brazil,EN,BRAZIL,BRAZIL,MARKET,MARKET-BR-EN Brazil English,I,Supplier Search,Unavailable,13,Unavailable,Unavailable,Unavailable,Semrush metrics refreshed and preserved in local raw batch; values marked Unavailable were displayed as unavailable.,4,5,2,MARKETS > Brazil,EXISTING_PAGE,P2,SEMRUSH-BR-MARKET-20260829-001,2026-08-29,VERIFIED,"Metric row verified from local Semrush capture. Semrush raw intent: Informational. Priority audit: CI=1.5/5, Strategic=5/5, Market=5/5, Demand=0/5, Feasibility=5/5, weighted=64. Unavailable demand/feasibility contributes 0 rather than an inferred value."
titanium dioxide anti dumping brazil,titanium dioxide anti dumping brazil,EN,BRAZIL,BRAZIL,MARKET,MARKET-BR-EN Brazil English,I,Supplier Search,Unavailable,12,Unavailable,Unavailable,Unavailable,Semrush metrics refreshed and preserved in local raw batch; values marked Unavailable were displayed as unavailable.,4,5,2,MARKETS > Brazil,EXISTING_PAGE,P2,SEMRUSH-BR-MARKET-20260829-001,2026-08-29,VERIFIED,"Metric row verified from local Semrush capture. Semrush raw intent: Informational. Priority audit: CI=1.5/5, Strategic=5/5, Market=5/5, Demand=0/5, Feasibility=5/5, weighted=64. Unavailable demand/feasibility contributes 0 rather than an inferred value."
fornecedor de dióxido de titânio,fornecedor de dióxido de titânio,PT-BR,BRAZIL,BRAZIL,MARKET,MARKET-BR-PT Brazil Portuguese,I,Supplier Search,0,0,0.00,Unavailable,Local distributor/directory mix,"Portuguese SERP is dominated by Brazilian distributors and a B2B directory; one coatings term has verified volume 20, KD 3, CPC USD 0.34.",5,5,1,MARKETS > Brazil,MERGE_INTO_CLUSTER,P2,SEMRUSH-BR-MARKET-20260829-001,2026-08-29,VERIFIED,"Metric row verified from local Semrush capture. Semrush raw intent: Informational. Priority audit: CI=1.5/5, Strategic=5/5, Market=5/5, Demand=1/5, Feasibility=5/5, weighted=67. Unavailable demand/feasibility contributes 0 rather than an inferred value."
dióxido de titânio brasil,dióxido de titânio brasil,PT-BR,BRAZIL,BRAZIL,MARKET,MARKET-BR-PT Brazil Portuguese,I,Supplier Search,0,6,0.00,Unavailable,Local distributor/directory mix,"Portuguese SERP is dominated by Brazilian distributors and a B2B directory; one coatings term has verified volume 20, KD 3, CPC USD 0.34.",5,5,1,MARKETS > Brazil,MERGE_INTO_CLUSTER,P2,SEMRUSH-BR-MARKET-20260829-001,2026-08-29,VERIFIED,"Metric row verified from local Semrush capture. Semrush raw intent: Informational. Priority audit: CI=1.5/5, Strategic=5/5, Market=5/5, Demand=1/5, Feasibility=5/5, weighted=67. Unavailable demand/feasibility contributes 0 rather than an inferred value."
importador de dióxido de titânio,importador de dióxido de titânio,PT-BR,BRAZIL,BRAZIL,MARKET,MARKET-BR-PT Brazil Portuguese,I,Supplier Search,Unavailable,6,Unavailable,Unavailable,Local distributor/directory mix,"Portuguese SERP is dominated by Brazilian distributors and a B2B directory; one coatings term has verified volume 20, KD 3, CPC USD 0.34.",5,5,1,MARKETS > Brazil,MERGE_INTO_CLUSTER,P2,SEMRUSH-BR-MARKET-20260829-001,2026-08-29,VERIFIED,"Metric row verified from local Semrush capture. Semrush raw intent: Informational. Priority audit: CI=1.5/5, Strategic=5/5, Market=5/5, Demand=0/5, Feasibility=5/5, weighted=64. Unavailable demand/feasibility contributes 0 rather than an inferred value."
dióxido de titânio para tintas,dióxido de titânio para tintas,PT-BR,BRAZIL,BRAZIL,MARKET,MARKET-BR-PT Brazil Portuguese,I,Supplier Search,20,3,0.34,Unavailable,Local distributor/directory mix,"Portuguese SERP is dominated by Brazilian distributors and a B2B directory; one coatings term has verified volume 20, KD 3, CPC USD 0.34.",5,5,1,MARKETS > Brazil,MERGE_INTO_CLUSTER,P1,SEMRUSH-BR-MARKET-20260829-001,2026-08-29,VERIFIED,"Metric row verified from local Semrush capture. Semrush raw intent: Informational. Priority audit: CI=1.5/5, Strategic=5/5, Market=5/5, Demand=4/5, Feasibility=5/5, weighted=76. Unavailable demand/feasibility contributes 0 rather than an inferred value."
dióxido de titânio para plásticos,dióxido de titânio para plásticos,PT-BR,BRAZIL,BRAZIL,MARKET,MARKET-BR-PT Brazil Portuguese,M,Supplier Search,Unavailable,10,Unavailable,Unavailable,Local distributor/directory mix,"Portuguese SERP is dominated by Brazilian distributors and a B2B directory; one coatings term has verified volume 20, KD 3, CPC USD 0.34.",5,5,1,MARKETS > Brazil,MERGE_INTO_CLUSTER,P1,SEMRUSH-BR-MARKET-20260829-001,2026-08-29,VERIFIED,"Metric row verified from local Semrush capture. Semrush raw intent: Informational | Commercial. Priority audit: CI=3.5/5, Strategic=5/5, Market=5/5, Demand=0/5, Feasibility=5/5, weighted=76. Unavailable demand/feasibility contributes 0 rather than an inferred value."
fornecedor de tio2 brasil,fornecedor de tio2 brasil,PT-BR,BRAZIL,BRAZIL,MARKET,MARKET-BR-PT Brazil Portuguese,C,Supplier Search,Unavailable,Unavailable,Unavailable,Unavailable,Local distributor/directory mix,"Portuguese SERP is dominated by Brazilian distributors and a B2B directory; one coatings term has verified volume 20, KD 3, CPC USD 0.34.",5,5,1,MARKETS > Brazil,MERGE_INTO_CLUSTER,P1,SEMRUSH-BR-MARKET-20260829-001 | SERP-BRAZIL-PTBR-TIO2-SUPPLIER-20260829,2026-08-29,VERIFIED,"No numeric metrics available; retained as qualitative seed/evidence term. Priority audit: CI=4.5/5, Strategic=5/5, Market=5/5, Demand=0/5, Feasibility=0/5, weighted=72. Unavailable demand/feasibility contributes 0 rather than an inferred value."
fabricante de dióxido de titânio brasil,fabricante de dióxido de titânio brasil,PT-BR,BRAZIL,BRAZIL,MARKET,MARKET-BR-PT Brazil Portuguese,C,Supplier Search,Unavailable,Unavailable,Unavailable,Unavailable,Local distributor/directory mix,"Portuguese SERP is dominated by Brazilian distributors and a B2B directory; one coatings term has verified volume 20, KD 3, CPC USD 0.34.",5,5,1,MARKETS > Brazil,MERGE_INTO_CLUSTER,P1,SEMRUSH-BR-MARKET-20260829-001 | SERP-BRAZIL-PTBR-TIO2-SUPPLIER-20260829,2026-08-29,VERIFIED,"No numeric metrics available; retained as qualitative seed/evidence term. Priority audit: CI=4.5/5, Strategic=5/5, Market=5/5, Demand=0/5, Feasibility=0/5, weighted=72. Unavailable demand/feasibility contributes 0 rather than an inferred value."
dióxido de titânio preço,dióxido de titânio preço,PT-BR,BRAZIL,BRAZIL,MARKET,MARKET-BR-PT Brazil Portuguese,C,Supplier Search,Unavailable,Unavailable,Unavailable,Unavailable,Local distributor/directory mix,"Portuguese SERP is dominated by Brazilian distributors and a B2B directory; one coatings term has verified volume 20, KD 3, CPC USD 0.34.",5,5,1,MARKETS > Brazil,MERGE_INTO_CLUSTER,P1,SEMRUSH-BR-MARKET-20260829-001 | SERP-BRAZIL-PTBR-TIO2-SUPPLIER-20260829,2026-08-29,VERIFIED,"No numeric metrics available; retained as qualitative seed/evidence term. Priority audit: CI=4.5/5, Strategic=5/5, Market=5/5, Demand=0/5, Feasibility=0/5, weighted=72. Unavailable demand/feasibility contributes 0 rather than an inferred value."
antidumping dióxido de titânio china brasil,antidumping dióxido de titânio china brasil,PT-BR,BRAZIL,BRAZIL,MARKET,MARKET-BR-PT Brazil Portuguese,C,Supplier Search,Unavailable,Unavailable,Unavailable,Unavailable,Local distributor/directory mix,"Portuguese SERP is dominated by Brazilian distributors and a B2B directory; one coatings term has verified volume 20, KD 3, CPC USD 0.34.",5,5,1,MARKETS > Brazil,MERGE_INTO_CLUSTER,P1,SEMRUSH-BR-MARKET-20260829-001 | SERP-BRAZIL-PTBR-TIO2-SUPPLIER-20260829,2026-08-29,VERIFIED,"No numeric metrics available; retained as qualitative seed/evidence term. Priority audit: CI=4.5/5, Strategic=5/5, Market=5/5, Demand=0/5, Feasibility=0/5, weighted=72. Unavailable demand/feasibility contributes 0 rather than an inferred value."
titanium dioxide pigment,titanium dioxide pigment,EN,GLOBAL,MULTI,PRODUCT,PRODUCT-01 Core pigment,C,Supplier Search,Unavailable,Unavailable,Unavailable,Unavailable,Manufacturer/product mix,Unavailable,5,4,0,PRODUCTS > Titanium Dioxide Products,EXISTING_PAGE,P2,PROJECT-BRIEF-TIO2-MALAYSIA-V1.0 | SERP-GLOBAL-TIO2-COATINGS-20260829 | SERP-GLOBAL-TIO2-PLASTICS-20260829,2026-08-29,VERIFIED,"No numeric metrics available; retained as qualitative seed/evidence term. Priority audit: CI=4.5/5, Strategic=4/5, Market=3/5, Demand=0/5, Feasibility=0/5, weighted=59. Unavailable demand/feasibility contributes 0 rather than an inferred value."
tio2 pigment supplier,tio2 pigment supplier,EN,GLOBAL,MULTI,PRODUCT,PRODUCT-01 Core pigment,C,Supplier Search,Unavailable,Unavailable,Unavailable,Unavailable,Manufacturer/product mix,Unavailable,5,4,0,PRODUCTS > Titanium Dioxide Products,EXISTING_PAGE,P2,PROJECT-BRIEF-TIO2-MALAYSIA-V1.0 | SERP-GLOBAL-TIO2-COATINGS-20260829 | SERP-GLOBAL-TIO2-PLASTICS-20260829,2026-08-29,VERIFIED,"No numeric metrics available; retained as qualitative seed/evidence term. Priority audit: CI=4.5/5, Strategic=4/5, Market=3/5, Demand=0/5, Feasibility=0/5, weighted=59. Unavailable demand/feasibility contributes 0 rather than an inferred value."
industrial titanium dioxide supplier,industrial titanium dioxide supplier,EN,GLOBAL,MULTI,PRODUCT,PRODUCT-01 Core pigment,C,Supplier Search,Unavailable,Unavailable,Unavailable,Unavailable,Manufacturer/product mix,Unavailable,5,4,0,PRODUCTS > Titanium Dioxide Products,EXISTING_PAGE,P2,PROJECT-BRIEF-TIO2-MALAYSIA-V1.0 | SERP-GLOBAL-TIO2-COATINGS-20260829 | SERP-GLOBAL-TIO2-PLASTICS-20260829,2026-08-29,VERIFIED,"No numeric metrics available; retained as qualitative seed/evidence term. Priority audit: CI=4.5/5, Strategic=4/5, Market=3/5, Demand=0/5, Feasibility=0/5, weighted=59. Unavailable demand/feasibility contributes 0 rather than an inferred value."
titanium white pigment,titanium white pigment,EN,GLOBAL,MULTI,PRODUCT,PRODUCT-01 Core pigment,C,Supplier Search,Unavailable,Unavailable,Unavailable,Unavailable,Manufacturer/product mix,Unavailable,5,4,0,PRODUCTS > Titanium Dioxide Products,EXISTING_PAGE,P2,PROJECT-BRIEF-TIO2-MALAYSIA-V1.0 | SERP-GLOBAL-TIO2-COATINGS-20260829 | SERP-GLOBAL-TIO2-PLASTICS-20260829,2026-08-29,VERIFIED,"No numeric metrics available; retained as qualitative seed/evidence term. Priority audit: CI=4.5/5, Strategic=4/5, Market=3/5, Demand=0/5, Feasibility=0/5, weighted=59. Unavailable demand/feasibility contributes 0 rather than an inferred value."
