page_id,section,page_name,url,page_type,market,language,primary_keyword,secondary_keywords,search_intent,buyer_stage,source_cluster,page_role,excluded_keywords,cannibalization_boundary,priority,mapping_status,verification_status,notes
RES-PROC,RESOURCES,Chloride vs Sulfate Titanium Dioxide,/resources/chloride-vs-sulfate-titanium-dioxide/,Buying guide,GLOBAL,EN,chloride vs sulfate titanium dioxide,high opacity titanium dioxide | high hiding power titanium dioxide | weather resistant titanium dioxide | blue undertone titanium dioxide,I,Awareness / Technical Evaluation,PRODUCT-05,Compare process-selection considerations and route to process and grade pages.,supplier-page primary terms | exact grade primary terms,"Resource owns research/comparison/update intent; Market, Product, and Application pages own commercial procurement intent.",P2,APPROVED_USER_GATE_0_1,QUALITATIVE_KEYWORD_EVIDENCE,"User-approved Gate 0/1 direction on 2026-09-05: production route can influence base-pigment formation, but the route label alone is insufficient to establish a grade-level performance conclusion. Gate 2 and public eligibility remain separate."
RES-CHEMOURS,RESOURCES,Chemours Titanium Dioxide Alternatives,/resources/chemours-titanium-dioxide-alternatives/,Technical guide,GLOBAL,EN,chemours titanium dioxide alternative,ti-pure alternative titanium dioxide | tronox titanium dioxide alternative | kronos titanium dioxide alternative | venator titanium dioxide alternative | lomon billions titanium dioxide alternative | citic titanium dioxide alternative | cnnc titanium dioxide alternative | titanium dioxide replacement equivalent | titanium dioxide grade alternative | titanium dioxide equivalent grade,I,Awareness / Technical Evaluation,BRAND-01,Support buyers researching Chemours alternatives without asserting unverified equivalence.,supplier-page primary terms | exact grade primary terms,"Resource owns research/comparison/update intent; Market, Product, and Application pages own commercial procurement intent.",P3,NEW_PAGE_CANDIDATE,QUALITATIVE_KEYWORD_EVIDENCE,Comparison and alternative claims require technical evidence and careful wording.
RES-R706,RESOURCES,Ti-Pure R-706 Alternative Direction,/resources/ti-pure-r-706-alternative/,Technical guide,GLOBAL,EN,ti-pure r-706 alternative equivalent,tronox cr-828 alternative equivalent | kronos 2310 titanium dioxide alternative equivalent | tioxide tr92 alternative equivalent | blr-895 alternative equivalent titanium dioxide | cnnc r-216 alternative equivalent titanium dioxide | citic r-5566 titanium dioxide alternative equivalent,I,Awareness / Technical Evaluation,BRAND-02,"Address R-706 comparison intent with evidence-gated, non-equivalence language.",supplier-page primary terms | exact grade primary terms,"Resource owns research/comparison/update intent; Market, Product, and Application pages own commercial procurement intent.",P2,NEW_PAGE_CANDIDATE,QUALITATIVE_KEYWORD_EVIDENCE,Comparison and alternative claims require technical evidence and careful wording.
RES-TRADE-EU,RESOURCES,EU Titanium Dioxide Trade Update,/resources/eu-titanium-dioxide-anti-dumping-duty/,Market & trade update,EU,EN,eu titanium dioxide anti dumping duty,titanium dioxide import duty eu | titanium dioxide customs duty eu,I,Awareness / Technical Evaluation,TRADE-EU-01,Own detailed EU trade-policy query and link to the EU procurement page.,supplier-page primary terms | exact grade primary terms,"Resource owns research/comparison/update intent; Market, Product, and Application pages own commercial procurement intent.",P2,PLANNED_CONTENT,OFFICIAL_SOURCE_UPDATE_REQUIRED,Show source and last-updated date; do not imply duty avoidance.
RES-TRADE-UK,RESOURCES,UK Titanium Dioxide Trade Update,/resources/uk-titanium-dioxide-anti-dumping-investigation/,Market & trade update,UK,EN,uk titanium dioxide anti dumping investigation,titanium dioxide import registration uk | titanium dioxide import duty uk,I,Awareness / Technical Evaluation,TRADE-UK-01,Own detailed UK trade-policy query and link to the UK procurement page.,supplier-page primary terms | exact grade primary terms,"Resource owns research/comparison/update intent; Market, Product, and Application pages own commercial procurement intent.",P2,PLANNED_CONTENT,OFFICIAL_SOURCE_UPDATE_REQUIRED,Show source and last-updated date; do not imply duty avoidance.
RES-TRADE-IN,RESOURCES,India Titanium Dioxide Trade Update,/resources/india-titanium-dioxide-anti-dumping-duty/,Market & trade update,INDIA,EN,india titanium dioxide anti dumping duty,titanium dioxide customs duty india,I,Awareness / Technical Evaluation,TRADE-IN-01,Own detailed India trade-policy query and link to the India procurement page.,supplier-page primary terms | exact grade primary terms,"Resource owns research/comparison/update intent; Market, Product, and Application pages own commercial procurement intent.",P2,PLANNED_CONTENT,OFFICIAL_SOURCE_UPDATE_REQUIRED,Show source and last-updated date; do not imply duty avoidance.
RES-TRADE-BR,RESOURCES,Brazil Titanium Dioxide Trade Update,/resources/brazil-titanium-dioxide-anti-dumping-duty/,Market & trade update,BRAZIL,EN,brazil titanium dioxide anti dumping duty,direito antidumping dióxido de titânio brasil | titanium dioxide import duty brazil,I,Awareness / Technical Evaluation,TRADE-BR-01,Own detailed Brazil trade-policy query and link to the Brazil procurement page.,supplier-page primary terms | exact grade primary terms,"Resource owns research/comparison/update intent; Market, Product, and Application pages own commercial procurement intent.",P2,PLANNED_CONTENT,OFFICIAL_SOURCE_UPDATE_REQUIRED,Show source and last-updated date; do not imply duty avoidance.
CONV-RFQ,CONVERSION,Request a Quote,/request-a-quote/,RFQ conversion page,GLOBAL,EN,titanium dioxide quote supplier,titanium dioxide quotation | buy titanium dioxide bulk | titanium dioxide wholesaler | titanium dioxide distributor | titanium dioxide sourcing supplier,T,RFQ / Purchase,BUYER-01,"Capture destination, application, grade/specification, quantity, packaging, document, and sample requirements.",informational product and application primary terms,RFQ page owns quotation and purchase-action intent; commercial landing pages link here and retain supplier/product intent.,P0,PLANNED_CONVERSION,QUALITATIVE_KEYWORD_EVIDENCE,Form workflow and field validation remain for the conversion design.
CONV-SAMPLE,CONVERSION,Request a Sample,/request-sample/,Sample conversion page,GLOBAL,EN,titanium dioxide sample supplier,request titanium dioxide sample | TiO2 sample request,T,Technical Evaluation,BUYER-01,Capture qualified sample requests and application context.,generic supplier terms | exact grade primary terms,Sample page owns sample-action intent; grade pages own model intent and pass the selected grade into this workflow.,P1,PLANNED_CONVERSION,QUALITATIVE_KEYWORD_EVIDENCE,"Sample qualification, freight, and quantity rules remain for the conversion design."
CONTACT-001,ABOUT,Contact,/contact/,Utility contact page,GLOBAL,EN,NO_PRIMARY_KEYWORD,contact TiO2 Malaysia | contact IKHLAS Titanium,N,Contact,N/A,Provide verified company contact channels and route commercial users to RFQ.,supplier | product | application | document primary terms,Contact is a utility page and must not be optimized as a commercial supplier landing page.,P1,PLANNED_UTILITY,CONTACT_DETAILS_REQUIRED,Use verified entity details and domain email addresses only.
LEGAL-PRIV-EN,LEGAL,Privacy Policy / Privacy Notice,/privacy-policy/,Legal / privacy page,GLOBAL,EN,NO_PRIMARY_KEYWORD,N/A,N,Navigation,N/A,"Explain verified personal-data processing, recipients, retention, rights, transfers and privacy contact routes.",supplier | product | market | application | document | RFQ commercial terms,Privacy owns legal transparency only and must not compete with commercial or informational landing pages.,P0,APPROVED_LEGAL_ARCHITECTURE,FACT_EVIDENCE_REQUIRED,Footer utility page; current and planned providers must be distinguished; no Terms dependency.
LEGAL-PRIV-MS,LEGAL,Dasar Privasi / Notis Perlindungan Data Peribadi,/ms/privacy-policy/,Legal / privacy page,GLOBAL,MS-MY,NO_PRIMARY_KEYWORD,N/A,N,Navigation,N/A,Provide the approved Bahasa Malaysia counterpart to the verified English privacy notice.,supplier | product | market | application | document | RFQ commercial terms,Bahasa Malaysia Privacy owns language-equivalent legal transparency only and must not target commercial queries.,P0,APPROVED_LEGAL_ARCHITECTURE,FACT_EVIDENCE_REQUIRED,Independent URL with reciprocal hreflang; localization and legal equivalence require review.
LEGAL-COOKIE-EN,LEGAL,Cookie Policy,/cookie-policy/,Legal / cookie page,GLOBAL,EN,NO_PRIMARY_KEYWORD,N/A,N,Navigation,N/A,"Explain verified Cookies, Local Storage, consent categories, providers, durations and preference controls.",supplier | product | market | application | document | RFQ commercial terms,Cookie Policy owns storage and consent transparency only; Cookie Settings remains a non-page functional control.,P0,APPROVED_LEGAL_ARCHITECTURE,FACT_EVIDENCE_REQUIRED,Footer utility page; must match production-equivalent Advanced Consent behaviour and actual storage inventory.
