"relation_id","grade","application","process_candidate","current_status","recommended_after_user_decision","source_ids","source_paths","source_type","source_date","applicability_scope","conflict","public_behavior_before_approval"
"REL-M340-SPEC","M-340","Specialty Materials","Chloride","DO_NOT_MAP","DO_NOT_MAP","SRC-PRD;SRC-SOP;SRC-WEB-M340","docs/prd/TiO2_Malaysia_Website_PRD_V0.4.md;docs/product-pages/03_Product_Page_Development_SOP_and_QA_V1.0.md;https://www.mytio2.com/products/m-340/","architecture and legacy candidate review","2026-08-29;observed 2026-08-30","absence means no current mapping evidence;not technical unsuitability","none","DO_NOT_RENDER"
"REL-M886-COAT","M-886","Coatings","Chloride","DO_NOT_MAP","DO_NOT_MAP","SRC-PRD;SRC-SOP;SRC-WEB-M886","docs/prd/TiO2_Malaysia_Website_PRD_V0.4.md;docs/product-pages/03_Product_Page_Development_SOP_and_QA_V1.0.md;https://www.mytio2.com/products/m-886/","architecture and legacy candidate review","2026-08-29;observed 2026-08-30","absence means no current mapping evidence;not technical unsuitability","none","DO_NOT_RENDER"
"REL-M886-PLAS","M-886","Plastics","Chloride","CANDIDATE_PENDING_USER_TECHNICAL_APPROVAL","VERIFIED_FOR_PUBLIC_MAPPING_IF_USER_APPROVES","SRC-PRD;SRC-SOP;SRC-WEB-M886","docs/prd/TiO2_Malaysia_Website_PRD_V0.4.md;docs/product-pages/03_Product_Page_Development_SOP_and_QA_V1.0.md;https://www.mytio2.com/products/m-886/","approved architecture candidate;SOP candidate;legacy first-party product page","2026-08-29;observed 2026-08-30","neutral broad Plastics evaluation mapping only","none","DO_NOT_RENDER"
"REL-M886-MB","M-886","Masterbatch","Chloride","CANDIDATE_PENDING_USER_TECHNICAL_APPROVAL","VERIFIED_FOR_PUBLIC_MAPPING_IF_USER_APPROVES","SRC-SOP;SRC-WEB-M886","docs/product-pages/03_Product_Page_Development_SOP_and_QA_V1.0.md;https://www.mytio2.com/products/m-886/","SOP secondary candidate;legacy first-party product page","2026-08-29;observed 2026-08-30","neutral broad Masterbatch evaluation mapping only","none","DO_NOT_RENDER"
"REL-M886-INK","M-886","Printing Inks","Chloride","DO_NOT_MAP","DO_NOT_MAP","SRC-PRD;SRC-SOP;SRC-WEB-M886","docs/prd/TiO2_Malaysia_Website_PRD_V0.4.md;docs/product-pages/03_Product_Page_Development_SOP_and_QA_V1.0.md;https://www.mytio2.com/products/m-886/","architecture and legacy candidate review","2026-08-29;observed 2026-08-30","absence means no current mapping evidence;not technical unsuitability","none","DO_NOT_RENDER"
"REL-M886-PAPER","M-886","Paper","Chloride","DO_NOT_MAP","DO_NOT_MAP","SRC-PRD;SRC-SOP;SRC-WEB-M886","docs/prd/TiO2_Malaysia_Website_PRD_V0.4.md;docs/product-pages/03_Product_Page_Development_SOP_and_QA_V1.0.md;https://www.mytio2.com/products/m-886/","architecture and legacy candidate review","2026-08-29;observed 2026-08-30","absence means no current mapping evidence;not technical unsuitability","none","DO_NOT_RENDER"
"REL-M886-SPEC","M-886","Specialty Materials","Chloride","DO_NOT_MAP","DO_NOT_MAP","SRC-PRD;SRC-SOP;SRC-WEB-M886","docs/prd/TiO2_Malaysia_Website_PRD_V0.4.md;docs/product-pages/03_Product_Page_Development_SOP_and_QA_V1.0.md;https://www.mytio2.com/products/m-886/","architecture and legacy candidate review","2026-08-29;observed 2026-08-30","absence means no current mapping evidence;not technical unsuitability","none","DO_NOT_RENDER"
"REL-M52-COAT","M-52","Coatings","Sulfate","CANDIDATE_PENDING_USER_TECHNICAL_APPROVAL","VERIFIED_FOR_PUBLIC_MAPPING_IF_USER_APPROVES","SRC-SOP;SRC-WEB-M52","docs/product-pages/03_Product_Page_Development_SOP_and_QA_V1.0.md;https://www.mytio2.com/products/m-52/","SOP secondary candidate;legacy first-party product page","2026-08-29;observed 2026-08-30","neutral broad Coatings evaluation mapping only","none","DO_NOT_RENDER"
"REL-M52-PLAS","M-52","Plastics","Sulfate","DO_NOT_MAP","DO_NOT_MAP","SRC-PRD;SRC-SOP;SRC-WEB-M52","docs/prd/TiO2_Malaysia_Website_PRD_V0.4.md;docs/product-pages/03_Product_Page_Development_SOP_and_QA_V1.0.md;https://www.mytio2.com/products/m-52/","architecture and legacy candidate review","2026-08-29;observed 2026-08-30","absence means no current mapping evidence;not technical unsuitability","legacy negative wording is not approved as public claim","DO_NOT_RENDER"
"REL-M52-MB","M-52","Masterbatch","Sulfate","DO_NOT_MAP","DO_NOT_MAP","SRC-PRD;SRC-SOP;SRC-WEB-M52","docs/prd/TiO2_Malaysia_Website_PRD_V0.4.md;docs/product-pages/03_Product_Page_Development_SOP_and_QA_V1.0.md;https://www.mytio2.com/products/m-52/","architecture and legacy candidate review","2026-08-29;observed 2026-08-30","absence means no current mapping evidence;not technical unsuitability","none","DO_NOT_RENDER"
"REL-M52-INK","M-52","Printing Inks","Sulfate","CANDIDATE_PENDING_USER_TECHNICAL_APPROVAL","VERIFIED_FOR_PUBLIC_MAPPING_IF_USER_APPROVES","SRC-PRD;SRC-SOP;SRC-WEB-M52","docs/prd/TiO2_Malaysia_Website_PRD_V0.4.md;docs/product-pages/03_Product_Page_Development_SOP_and_QA_V1.0.md;https://www.mytio2.com/products/m-52/","approved architecture candidate;SOP candidate;legacy first-party product page","2026-08-29;observed 2026-08-30","neutral broad Printing Inks evaluation mapping only","none","DO_NOT_RENDER"
"REL-M52-PAPER","M-52","Paper","Sulfate","DO_NOT_MAP","DO_NOT_MAP","SRC-PRD;SRC-SOP;SRC-WEB-M52","docs/prd/TiO2_Malaysia_Website_PRD_V0.4.md;docs/product-pages/03_Product_Page_Development_SOP_and_QA_V1.0.md;https://www.mytio2.com/products/m-52/","architecture and legacy candidate review","2026-08-29;observed 2026-08-30","absence means no current mapping evidence;not technical unsuitability","none","DO_NOT_RENDER"
"REL-M52-SPEC","M-52","Specialty Materials","Sulfate","DO_NOT_MAP","DO_NOT_MAP","SRC-PRD;SRC-SOP;SRC-WEB-M52","docs/prd/TiO2_Malaysia_Website_PRD_V0.4.md;docs/product-pages/03_Product_Page_Development_SOP_and_QA_V1.0.md;https://www.mytio2.com/products/m-52/","architecture and legacy candidate review","2026-08-29;observed 2026-08-30","absence means no current mapping evidence;not technical unsuitability","none","DO_NOT_RENDER"
"REL-M2377-COAT","M-2377","Coatings","UNRESOLVED","CONFLICT_HOLD","CONFLICT_HOLD","SRC-PRD;SRC-TEMPLATE;SRC-WEB-M2377","docs/prd/TiO2_Malaysia_Website_PRD_V0.4.md;docs/product-pages/01_Product_Page_Template_and_Content_Spec_V1.0.md;https://www.mytio2.com/products/m-2377/","approved freeze rule;legacy first-party product page with contradictory positioning","2026-08-29;observed 2026-08-30","no public application or process mapping","legacy page claims coatings but project-approved freeze requires current decisive technical evidence","DO_NOT_RENDER"
"REL-M2377-PLAS","M-2377","Plastics","UNRESOLVED","CONFLICT_HOLD","CONFLICT_HOLD","SRC-PRD;SRC-TEMPLATE;SRC-WEB-M2377","docs/prd/TiO2_Malaysia_Website_PRD_V0.4.md;docs/product-pages/01_Product_Page_Template_and_Content_Spec_V1.0.md;https://www.mytio2.com/products/m-2377/","approved freeze rule;internally contradictory legacy product page","2026-08-29;observed 2026-08-30","no public application or process mapping","same page lists Plastics as a key application and later says Plastics/Masterbatch not recommended","DO_NOT_RENDER"
"REL-M2377-MB","M-2377","Masterbatch","UNRESOLVED","DO_NOT_MAP","DO_NOT_MAP","SRC-PRD;SRC-TEMPLATE;SRC-WEB-M2377","docs/prd/TiO2_Malaysia_Website_PRD_V0.4.md;docs/product-pages/01_Product_Page_Template_and_Content_Spec_V1.0.md;https://www.mytio2.com/products/m-2377/","approved freeze rule;legacy candidate review","2026-08-29;observed 2026-08-30","absence means no current mapping evidence;not technical unsuitability","legacy page contains a negative Masterbatch statement but no approved positive mapping","DO_NOT_RENDER"
"REL-M2377-INK","M-2377","Printing Inks","UNRESOLVED","CONFLICT_HOLD","CONFLICT_HOLD","SRC-PRD;SRC-TEMPLATE;SRC-WEB-M2377","docs/prd/TiO2_Malaysia_Website_PRD_V0.4.md;docs/product-pages/01_Product_Page_Template_and_Content_Spec_V1.0.md;https://www.mytio2.com/products/m-2377/","approved freeze rule;legacy first-party product page","2026-08-29;observed 2026-08-30","no public application or process mapping","legacy page claims Printing Inks but project-approved application freeze remains","DO_NOT_RENDER"
"REL-M2377-PAPER","M-2377","Paper","UNRESOLVED","CONFLICT_HOLD","CONFLICT_HOLD","SRC-PRD;SRC-TEMPLATE;SRC-WEB-M2377","docs/prd/TiO2_Malaysia_Website_PRD_V0.4.md;docs/product-pages/01_Product_Page_Template_and_Content_Spec_V1.0.md;https://www.mytio2.com/products/m-2377/","approved freeze rule;legacy first-party product page","2026-08-29;observed 2026-08-30","no public application or process mapping","legacy page claims Rubber and Paper but project-approved application freeze remains","DO_NOT_RENDER"
"REL-M2377-SPEC","M-2377","Specialty Materials","UNRESOLVED","DO_NOT_MAP","DO_NOT_MAP","SRC-PRD;SRC-TEMPLATE;SRC-WEB-M2377","docs/prd/TiO2_Malaysia_Website_PRD_V0.4.md;docs/product-pages/01_Product_Page_Template_and_Content_Spec_V1.0.md;https://www.mytio2.com/products/m-2377/","approved freeze rule;legacy candidate review","2026-08-29;observed 2026-08-30","absence means no current mapping evidence;not technical unsuitability","none","DO_NOT_RENDER"
"REL-CR901-COAT","CR-901","Coatings","Vapor-phase oxidation","DO_NOT_MAP","DO_NOT_MAP","SRC-PRD;SRC-SOP;SRC-WEB-CR901","docs/prd/TiO2_Malaysia_Website_PRD_V0.4.md;docs/product-pages/03_Product_Page_Development_SOP_and_QA_V1.0.md;https://www.mytio2.com/products/cr-901/","architecture and legacy specialty candidate review","2026-08-29;observed 2026-08-30","absence means no current mapping evidence;not technical unsuitability","none","DO_NOT_RENDER"
"REL-CR901-PLAS","CR-901","Plastics","Vapor-phase oxidation","DO_NOT_MAP","DO_NOT_MAP","SRC-PRD;SRC-SOP;SRC-WEB-CR901","docs/prd/TiO2_Malaysia_Website_PRD_V0.4.md;docs/product-pages/03_Product_Page_Development_SOP_and_QA_V1.0.md;https://www.mytio2.com/products/cr-901/","architecture and legacy specialty candidate review","2026-08-29;observed 2026-08-30","absence means no current mapping evidence;not technical unsuitability","none","DO_NOT_RENDER"
"REL-CR901-MB","CR-901","Masterbatch","Vapor-phase oxidation","DO_NOT_MAP","DO_NOT_MAP","SRC-PRD;SRC-SOP;SRC-WEB-CR901","docs/prd/TiO2_Malaysia_Website_PRD_V0.4.md;docs/product-pages/03_Product_Page_Development_SOP_and_QA_V1.0.md;https://www.mytio2.com/products/cr-901/","architecture and legacy specialty candidate review","2026-08-29;observed 2026-08-30","absence means no current mapping evidence;not technical unsuitability","none","DO_NOT_RENDER"
"REL-CR901-INK","CR-901","Printing Inks","Vapor-phase oxidation","DO_NOT_MAP","DO_NOT_MAP","SRC-PRD;SRC-SOP;SRC-WEB-CR901","docs/prd/TiO2_Malaysia_Website_PRD_V0.4.md;docs/product-pages/03_Product_Page_Development_SOP_and_QA_V1.0.md;https://www.mytio2.com/products/cr-901/","architecture and legacy specialty candidate review","2026-08-29;observed 2026-08-30","absence means no current mapping evidence;not technical unsuitability","none","DO_NOT_RENDER"
"REL-CR901-PAPER","CR-901","Paper","Vapor-phase oxidation","DO_NOT_MAP","DO_NOT_MAP","SRC-PRD;SRC-SOP;SRC-WEB-CR901","docs/prd/TiO2_Malaysia_Website_PRD_V0.4.md;docs/product-pages/03_Product_Page_Development_SOP_and_QA_V1.0.md;https://www.mytio2.com/products/cr-901/","architecture and legacy specialty candidate review","2026-08-29;observed 2026-08-30","absence means no current mapping evidence;not technical unsuitability","none","DO_NOT_RENDER"
"REL-CR901-SPEC","CR-901","Specialty Materials","Vapor-phase oxidation","CANDIDATE_PENDING_USER_TECHNICAL_APPROVAL","VERIFIED_FOR_PUBLIC_MAPPING_IF_USER_APPROVES","SRC-PRD;SRC-SOP;SRC-WEB-CR901","docs/prd/TiO2_Malaysia_Website_PRD_V0.4.md;docs/product-pages/03_Product_Page_Development_SOP_and_QA_V1.0.md;https://www.mytio2.com/products/cr-901/","approved specialty architecture candidate;SOP candidate;legacy first-party product page","2026-08-29;observed 2026-08-30","neutral Specialty Materials evaluation mapping only;no medical/cosmetic compliance implication","legacy page mentions regulated end uses;those claims remain excluded","DO_NOT_RENDER"
